="Filtros Utilizados"
="Vínculo";="TODOS";="Unidade";="CÂMARA MUNICIPAL DE ARCOS"
="Mês";="04/2026";="";=""
="Tabela de Remuneração dos Cargos e Funções"
="Código";="Descrição do Cargo"
="22";="ADVOGADO"
="32";="ADVOGADO DA MESA DIRETORA"
="19";="ASSESSOR DE A. E FINANÇAS"
="18";="ASSESSOR DE COMUNICAÇÃO"
="20";="ASSESSOR DE GABINETE"
="29";="ASSESSOR DO LEGISLATIVO"
="27";="ASSESSOR DO S.DE P.HUMANA"
="6";="Assessor Juridico"
="5";="Assessor Téc. Administrativo"
="21";="ASSIST.DO LEGISLATIVO"
="30";="ASSISTENTE DE COMUNICAÇÃO"
="17";="ATENDENTE LEGISLATIVO"
="16";="AUX.SEC."
="13";="AUXILIAR DE SERVICOS"
="10";="CONSULTOR GERAL"
="31";="CONTADOR"
="26";="COORDENADOR DE S. DE P. HUMANA"
="3";="Motorista"
="11";="MOTORISTA II"
="25";="Pensionista"
="7";="Presidente da Camara"
="24";="SECRETARIO GERAL"
="36";="Servidor r. - T. Informatica"
="33";="Servidor recebido - Assistente"
="2";="TEC.APOIO LEG"
="12";="TEC.CONTROLE INTERNO"
="15";="TECNICO EM CONTABILIDADE"
="14";="TELEFONISTA"
="1";="Vereador"
="34";="Vice-Presidente"
="PRONIM TB - 29/05/2026 12:19:48 - Pessoal"
